"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-01","80",",,7","48",",,7","49",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-02","70",",,7","44",",,7","45",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-03","74",",,7","44",",,7","54",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-04","81",",,7","53",",,7","63",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-05","90",",,7","63",",,7","66",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-06","72",",,7","61",",,7","64",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-07","76",",,7","51",",,7","52",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-08","79",",,7","51",",,7","63",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-09","78",",,7","53",",,7","63",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-10","86",",,7","63",",,7","71",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-11","84",",,7","59",",,7","59",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-12","59",",,7","38",",,7","38",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-13","59",",,7","35",",,7","35",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-14","36",",,7","32",",,7","32",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-15","36",",,7","22",",,7","22",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-16","34",",,7","20",",,7","25",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-17",,,,,,
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-18","49",",,7","25",",,7","35",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-19","47",",,7","32",",,7","32",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-20","55",",,7","32",",,7","33",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-21",,,,,,
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-22","81",",,7","33",",,7","59",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-23","79",",,7","57",",,7","58",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-24","82",",,7","57",",,7","67",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-25","89",",,7","67",",,7","68",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-26","86",",,7","67",",,7","68",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-27","79",",,7","67",",,7","70",",,7,0700"
"USC00412758","EDINBURG, TX US","26.298","-98.1575","29.3","2021-02-28","89",",,7","69",",,7","70",",,7,0700"
